,items,support,ordered_statistics
31,"frozenset({'Transitar na contramão', 'Colisão frontal'})",0.01904568781294358,"[OrderedStatistic(items_base=frozenset({'Transitar na contramão'}), items_add=frozenset({'Colisão frontal'}), confidence=0.687113111986494, lift=10.152139777907847)]"
32,"frozenset({'Transitar na contramão', 'Céu Claro', 'Colisão frontal'})",0.01179241604142944,"[OrderedStatistic(items_base=frozenset({'Transitar na contramão', 'Céu Claro'}), items_add=frozenset({'Colisão frontal'}), confidence=0.6866485013623977, lift=10.145275126490425)]"
33,"frozenset({'Pista Escorregadia', 'Chuva'})",0.01294670015130481,"[OrderedStatistic(items_base=frozenset({'Pista Escorregadia'}), items_add=frozenset({'Chuva'}), confidence=0.6709781729991916, lift=6.306368522622075)]"
34,"frozenset({'Simples', 'Céu Claro', 'Colisão transversal', 'Interseção de vias'})",0.010950100609898766,"[OrderedStatistic(items_base=frozenset({'Simples', 'Céu Claro', 'Interseção de vias'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6616399622997172, lift=5.3054504494149555)]"
35,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal', 'Tarde'})",0.02414637570387933,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Tarde'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6562102585841458, lift=5.261911628214009)]"
36,"frozenset({'Simples', 'Colisão transversal', 'Interseção de vias'})",0.016518741518351556,"[OrderedStatistic(items_base=frozenset({'Simples', 'Interseção de vias'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6492949110974862, lift=5.206459969424483)]"
37,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Colisão transversal', 'Tarde'})",0.01562963078506918,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Tarde'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6489637305699482, lift=5.203804353109295)]"
38,"frozenset({'Transitar na contramão', 'Com Vítimas Feridas', 'Colisão frontal'})",0.010934502175981532,"[OrderedStatistic(items_base=frozenset({'Transitar na contramão', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão frontal'}), confidence=0.6372727272727272, lift=9.41574493494521)]"
39,"frozenset({'Simples', 'Céu Claro', 'Colisão transversal', 'Desrespeitar a preferência no cruzamento'})",0.011137281816905582,"[OrderedStatistic(items_base=frozenset({'Céu Claro', 'Desrespeitar a preferência no cruzamento'}), items_add=frozenset({'Simples', 'Colisão transversal'}), confidence=0.6357969723953695, lift=7.433942750920069), OrderedStatistic(items_base=frozenset({'Simples', 'Desrespeitar a preferência no cruzamento'}), items_add=frozenset({'Colisão transversal', 'Céu Claro'}), confidence=0.5730337078651685, lift=7.045764859518237), OrderedStatistic(items_base=frozenset({'Simples', 'Céu Claro', 'Desrespeitar a preferência no cruzamento'}), items_add=frozenset({'Colisão transversal'}), confidence=0.8847583643122675, lift=7.094555844614779)]"
40,"frozenset({'Simples', 'Colisão transversal', 'Desrespeitar a preferência no cruzamento'})",0.017267466346378824,"[OrderedStatistic(items_base=frozenset({'Desrespeitar a preferência no cruzamento'}), items_add=frozenset({'Simples', 'Colisão transversal'}), confidence=0.6354764638346727, lift=7.430195261713848), OrderedStatistic(items_base=frozenset({'Simples', 'Desrespeitar a preferência no cruzamento'}), items_add=frozenset({'Colisão transversal'}), confidence=0.8884430176565008, lift=7.124101740955673)]"
41,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Reta', 'Colisão transversal', 'Tarde'})",0.013882606186338891,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Reta', 'Tarde'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6334519572953736, lift=5.079421079455798)]"
